product_name,description,regular_price,wholesale_price,wholesale_minimum_quantity,quantity_step,brand,category,image
Cooking Oil 5L Test 29,Refined vegetable cooking oil.,424,354,10,5,SunGold,Groceries,cooking-oil-5l.jpg
Cooking Oil 1L Test 30,Refined vegetable cooking oil for household use.,100,83,20,10,SunGold,Groceries,cooking-oil-1l.jpg
Sugar 1kg Test 31,Premium white granulated sugar.,81,66,20,10,SweetLife,Groceries,sugar-1kg.jpg
Sugar 5kg Test 32,Premium white granulated sugar in a 5kg package.,347,292,10,5,SweetLife,Groceries,sugar-5kg.jpg
Wheat Flour 1kg Test 33,Fine wheat flour suitable for baking.,88,73,20,10,BakePro,Groceries,wheat-flour.jpg
Corn Flour 1kg Test 34,Fine corn flour for cooking and baking.,94,77,20,10,Gambia Foods,Groceries,corn-flour.jpg
Spaghetti 500g Test 35,Quality durum wheat spaghetti.,65,52,24,12,PastaHouse,Groceries,spaghetti.jpg
Bottled Water 500ml Test 36,Pure bottled drinking water.,26,22,48,24,Gambia Pure,Beverages,water-500ml.jpg
Bottled Water 1.5L Test 37,Pure bottled drinking water.,37,31,24,12,Gambia Pure,Beverages,water-1.5l.jpg
Mango Juice 1L Test 38,Refreshing mango fruit juice.,98,83,12,6,Tropical,Beverages,mango-juice.jpg
Orange Juice 1L Test 39,Refreshing orange fruit juice.,99,84,12,6,Tropical,Beverages,orange-juice.jpg
Soft Drink 500ml Test 40,Refreshing carbonated soft drink.,45,39,24,12,FizzUp,Beverages,soft-drink.jpg
Laundry Powder 2kg Test 41,Powerful laundry detergent for everyday washing.,196,161,12,6,CleanPro,Household,laundry-2kg.jpg
Laundry Powder 1kg Test 42,Effective detergent for household laundry.,112,93,20,10,CleanPro,Household,laundry-1kg.jpg
Dishwashing Liquid 750ml Test 43,Liquid detergent for cleaning dishes.,88,73,20,10,CleanPro,Household,dishwashing.jpg
Toilet Cleaner 500ml Test 44,Powerful toilet cleaning solution.,84,69,20,10,CleanPro,Household,toilet-cleaner.jpg
Floor Cleaner 1L Test 45,Multi-purpose floor cleaning solution.,115,95,12,6,FreshHome,Household,floor-cleaner.jpg
Bath Soap 100g Test 46,Gentle soap for everyday bathing.,56,48,24,12,FreshCare,Personal Care,bath-soap.jpg
Shampoo 400ml Test 47,Daily care shampoo for healthy hair.,162,132,12,6,FreshCare,Personal Care,shampoo.jpg
Toothpaste 100ml Test 48,Fluoride toothpaste for daily oral care.,98,83,24,12,SmilePlus,Personal Care,toothpaste.jpg
Body Lotion 400ml Test 49,Moisturizing body lotion.,174,144,12,6,SoftSkin,Personal Care,body-lotion.jpg
Deodorant 150ml Test 50,Long-lasting body deodorant.,145,120,12,6,FreshCare,Personal Care,deodorant.jpg
Premium Rice 25kg Test 51,"Premium long grain rice suitable for homes, restaurants and retailers.",876,746,5,5,Gambia Foods,Groceries,rice-25kg.jpg
Premium Rice 10kg Test 52,Quality long grain rice for everyday cooking.,407,347,10,5,Gambia Foods,Groceries,rice-10kg.jpg
Parboiled Rice 25kg Test 53,High quality parboiled rice.,928,788,5,5,WestAfrica Foods,Groceries,parboiled-rice.jpg
Cooking Oil 5L Test 54,Refined vegetable cooking oil.,449,379,10,5,SunGold,Groceries,cooking-oil-5l.jpg
Cooking Oil 1L Test 55,Refined vegetable cooking oil for household use.,125,108,20,10,SunGold,Groceries,cooking-oil-1l.jpg
Sugar 1kg Test 56,Premium white granulated sugar.,106,91,20,10,SweetLife,Groceries,sugar-1kg.jpg
Sugar 5kg Test 57,Premium white granulated sugar in a 5kg package.,372,317,10,5,SweetLife,Groceries,sugar-5kg.jpg
Wheat Flour 1kg Test 58,Fine wheat flour suitable for baking.,113,98,20,10,BakePro,Groceries,wheat-flour.jpg
Corn Flour 1kg Test 59,Fine corn flour for cooking and baking.,119,102,20,10,Gambia Foods,Groceries,corn-flour.jpg
Spaghetti 500g Test 60,Quality durum wheat spaghetti.,90,77,24,12,PastaHouse,Groceries,spaghetti.jpg
Bottled Water 500ml Test 61,Pure bottled drinking water.,51,47,48,24,Gambia Pure,Beverages,water-500ml.jpg
Bottled Water 1.5L Test 62,Pure bottled drinking water.,62,56,24,12,Gambia Pure,Beverages,water-1.5l.jpg
Mango Juice 1L Test 63,Refreshing mango fruit juice.,123,108,12,6,Tropical,Beverages,mango-juice.jpg
Orange Juice 1L Test 64,Refreshing orange fruit juice.,124,109,12,6,Tropical,Beverages,orange-juice.jpg
Soft Drink 500ml Test 65,Refreshing carbonated soft drink.,70,64,24,12,FizzUp,Beverages,soft-drink.jpg
Laundry Powder 2kg Test 66,Powerful laundry detergent for everyday washing.,221,186,12,6,CleanPro,Household,laundry-2kg.jpg
Laundry Powder 1kg Test 67,Effective detergent for household laundry.,137,118,20,10,CleanPro,Household,laundry-1kg.jpg
Dishwashing Liquid 750ml Test 68,Liquid detergent for cleaning dishes.,113,98,20,10,CleanPro,Household,dishwashing.jpg
Toilet Cleaner 500ml Test 69,Powerful toilet cleaning solution.,109,94,20,10,CleanPro,Household,toilet-cleaner.jpg
Floor Cleaner 1L Test 70,Multi-purpose floor cleaning solution.,140,120,12,6,FreshHome,Household,floor-cleaner.jpg
Bath Soap 100g Test 71,Gentle soap for everyday bathing.,81,73,24,12,FreshCare,Personal Care,bath-soap.jpg
Shampoo 400ml Test 72,Daily care shampoo for healthy hair.,187,157,12,6,FreshCare,Personal Care,shampoo.jpg
Toothpaste 100ml Test 73,Fluoride toothpaste for daily oral care.,123,108,24,12,SmilePlus,Personal Care,toothpaste.jpg
Body Lotion 400ml Test 74,Moisturizing body lotion.,199,169,12,6,SoftSkin,Personal Care,body-lotion.jpg
Deodorant 150ml Test 75,Long-lasting body deodorant.,170,145,12,6,FreshCare,Personal Care,deodorant.jpg
Premium Rice 25kg Test 76,"Premium long grain rice suitable for homes, restaurants and retailers.",901,771,5,5,Gambia Foods,Groceries,rice-25kg.jpg
Premium Rice 10kg Test 77,Quality long grain rice for everyday cooking.,432,372,10,5,Gambia Foods,Groceries,rice-10kg.jpg
Parboiled Rice 25kg Test 78,High quality parboiled rice.,953,813,5,5,WestAfrica Foods,Groceries,parboiled-rice.jpg
Cooking Oil 5L Test 79,Refined vegetable cooking oil.,474,404,10,5,SunGold,Groceries,cooking-oil-5l.jpg
Cooking Oil 1L Test 80,Refined vegetable cooking oil for household use.,150,133,20,10,SunGold,Groceries,cooking-oil-1l.jpg
Sugar 1kg Test 81,Premium white granulated sugar.,131,116,20,10,SweetLife,Groceries,sugar-1kg.jpg
Sugar 5kg Test 82,Premium white granulated sugar in a 5kg package.,397,342,10,5,SweetLife,Groceries,sugar-5kg.jpg
Wheat Flour 1kg Test 83,Fine wheat flour suitable for baking.,138,123,20,10,BakePro,Groceries,wheat-flour.jpg
Corn Flour 1kg Test 84,Fine corn flour for cooking and baking.,144,127,20,10,Gambia Foods,Groceries,corn-flour.jpg
Spaghetti 500g Test 85,Quality durum wheat spaghetti.,115,102,24,12,PastaHouse,Groceries,spaghetti.jpg
Bottled Water 500ml Test 86,Pure bottled drinking water.,76,72,48,24,Gambia Pure,Beverages,water-500ml.jpg
Bottled Water 1.5L Test 87,Pure bottled drinking water.,87,81,24,12,Gambia Pure,Beverages,water-1.5l.jpg
Mango Juice 1L Test 88,Refreshing mango fruit juice.,148,133,12,6,Tropical,Beverages,mango-juice.jpg
Orange Juice 1L Test 89,Refreshing orange fruit juice.,149,134,12,6,Tropical,Beverages,orange-juice.jpg
Soft Drink 500ml Test 90,Refreshing carbonated soft drink.,95,89,24,12,FizzUp,Beverages,soft-drink.jpg
Laundry Powder 2kg Test 91,Powerful laundry detergent for everyday washing.,246,211,12,6,CleanPro,Household,laundry-2kg.jpg
Laundry Powder 1kg Test 92,Effective detergent for household laundry.,162,143,20,10,CleanPro,Household,laundry-1kg.jpg
Dishwashing Liquid 750ml Test 93,Liquid detergent for cleaning dishes.,138,123,20,10,CleanPro,Household,dishwashing.jpg
Toilet Cleaner 500ml Test 94,Powerful toilet cleaning solution.,134,119,20,10,CleanPro,Household,toilet-cleaner.jpg
Floor Cleaner 1L Test 95,Multi-purpose floor cleaning solution.,165,145,12,6,FreshHome,Household,floor-cleaner.jpg
Bath Soap 100g Test 96,Gentle soap for everyday bathing.,106,98,24,12,FreshCare,Personal Care,bath-soap.jpg
Shampoo 400ml Test 97,Daily care shampoo for healthy hair.,212,182,12,6,FreshCare,Personal Care,shampoo.jpg
Toothpaste 100ml Test 98,Fluoride toothpaste for daily oral care.,148,133,24,12,SmilePlus,Personal Care,toothpaste.jpg
Body Lotion 400ml Test 99,Moisturizing body lotion.,224,194,12,6,SoftSkin,Personal Care,body-lotion.jpg
Deodorant 150ml Test 100,Long-lasting body deodorant.,195,170,12,6,FreshCare,Personal Care,deodorant.jpg
